time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-01 00:00:00+00:00,,,7,4
2025-07-02 00:00:00+00:00,4.0,1.0,4,2
2025-07-03 00:00:00+00:00,8.0,8.0,10,3
2025-07-04 00:00:00+00:00,,,4,2
2025-07-05 00:00:00+00:00,10.0,9.0,15,5
2025-07-06 00:00:00+00:00,7.0,5.0,3,3
2025-07-07 00:00:00+00:00,,,8,2
2025-07-08 00:00:00+00:00,2.0,2.0,12,2
2025-07-09 00:00:00+00:00,,,46,7
2025-07-10 00:00:00+00:00,5.0,2.0,4,1
2025-07-11 00:00:00+00:00,,,69,9
2025-07-12 00:00:00+00:00,21.0,17.0,111,12
2025-07-13 00:00:00+00:00,6.0,5.0,9,2
2025-07-14 00:00:00+00:00,12.0,10.0,122,9
